station,time,biomass_gC_m2
BATS,1998-06-02,0.1984133178834777
BATS,1998-08-10,0.08025898033322881
BATS,1998-09-10,0.1060883780299569
BATS,1998-11-19,0.07724979739586231
BATS,1998-12-07,0.0873048808547213
BATS,1999-02-23,0.16196016590709536
BATS,1999-02-24,0.07893964382023164
BATS,1999-03-24,0.223319569836156
BATS,1999-04-08,0.19257942615122234
BATS,1999-05-03,0.16682459392252053
BATS,1999-06-01,0.2133589975059411
BATS,1999-06-03,0.22992424805355097
BATS,1999-08-03,0.10302630843882758
BATS,1999-09-14,0.18502274329910257
BATS,1999-09-15,0.10617280678467782
BATS,1999-11-10,0.10161231742628818
BATS,2001-07-18,0.22323165034683298
BATS,2002-05-14,0.07726949577258399
BATS,2002-07-01,0.14823247753455396
BATS,2002-08-20,0.21401229812664557
BATS,2002-12-10,0.07609969683344572
BATS,2003-03-04,0.25196638660723764
BATS,2003-03-21,0.3959676573738019
BATS,2003-04-03,0.25331098657515166
BATS,2003-10-06,0.16701211235519411
BATS,2004-01-27,0.05138099783487394
BATS,2004-09-14,0.22341174315978016
BATS,2004-11-12,0.2924129200689226
BATS,2005-04-05,0.2433576776938198
BATS,2005-10-11,0.0469958407608571
BATS,2005-11-10,0.054620358316352216
BATS,2006-01-29,0.08929483327383997
BATS,2006-02-08,0.2355714505144988
BATS,2006-05-10,0.09216016200856814
BATS,2006-08-08,0.15384260182784334
BATS,2006-12-03,0.09121667446942093
BATS,2007-04-02,0.165146688820705
BATS,2007-08-15,0.15994684584384475
BATS,2008-03-25,0.11890251697588436
BATS,2008-09-10,0.1908226084613368
BATS,2008-09-12,0.09290998286833788
BATS,2009-04-01,0.03204487143341907
BATS,2009-06-11,0.17059944603252916
BATS,2009-08-15,0.16434451246551024
BATS,2009-10-10,0.20232863153605185
BATS,2010-03-25,0.24112709778772284
BATS,2010-04-06,0.3211212801505489
BATS,2010-06-23,0.1277650151353035
BATS,2011-03-04,0.020678900252011256
BATS,2011-03-05,0.24732227644423616
BATS,2011-03-26,0.24125809776510151
BATS,2011-04-07,0.24968569227766657
BATS,2011-09-17,0.19196246229244646
BATS,2011-11-01,0.05030896794228774
BATS,2011-12-08,0.054750310803041435
BATS,2012-02-10,0.11209420571441471
BATS,2012-04-26,0.3564776945192583
BATS,2012-08-21,0.2827626682170463
BATS,2012-10-19,0.11807552918712322
BATS,2012-12-10,0.16713178330745032
BATS,2012-12-11,0.09483246001058764
BATS,2013-02-25,0.24720719050928214
BATS,2013-02-26,0.18011533731023746
BATS,2013-03-27,0.2343332905125181
BATS,2013-04-05,0.2532935736143266
BATS,2013-06-16,0.23382810427368683
BATS,2013-07-08,0.23774363296243958
BATS,2013-08-02,0.27296360968362954
BATS,2013-09-17,0.11948329402991958
BATS,2013-10-18,0.14642970406848982
BATS,2013-10-19,0.10632312848505858
BATS,2013-11-13,0.13118971662785978
BATS,2013-11-14,0.10881809020310096
BATS,2013-12-09,0.08077838611041263
BATS,2014-03-05,0.24072794896840552
BATS,2014-04-28,0.19915077519899604
BATS,2014-04-29,0.12417157821585596
BATS,2014-06-11,0.11481595258810492
BATS,2014-06-12,0.21056267399016754
BATS,2014-07-10,0.26531706833439817
BATS,2014-08-19,0.1794395274898712
BATS,2014-08-20,0.11121795372712193
BATS,2014-09-13,0.3318395959458647
BATS,2014-10-28,0.12460465649317298
BATS,2015-02-05,0.05060762796106231
BATS,2015-04-23,0.1351912030710799
BATS,2015-04-24,0.07475097728709945
BATS,2015-08-18,0.22341488612643723
BATS,2015-09-12,0.18273684058808454
BATS,2015-11-29,0.10192331659225595
BATS,2015-11-30,0.059064897242161754
BATS,2015-12-12,0.046376882279030716
BATS,2016-03-08,0.07996566959856587
BATS,2016-03-23,0.13277582571033236
BATS,2016-04-15,0.07926824762574311
BATS,2016-05-04,0.2460860196274882
BATS,2016-07-22,0.09044877888654812
BATS,2016-08-17,0.09230106950924359
BATS,2016-10-19,0.04768284195323895
BATS,2016-12-13,0.05730657325942801
BATS,2017-01-06,0.059783576381021185
BATS,2017-01-07,0.05224831033054162
BATS,2017-02-19,0.048027527126422886
BATS,2017-04-09,0.3028024808775066
BATS,2017-06-13,0.13186232791493677
BATS,2017-07-18,0.0728527617944828
BATS,2017-08-15,0.18101391719428866
BATS,2017-10-16,0.1269684641953459
BATS,2017-12-12,0.05031454209517482
BATS,2018-02-09,0.09756258391218661
BATS,2018-02-27,0.04478412706874837
BATS,2018-04-16,0.16733953109074928
BATS,2018-04-25,0.19211376338299022
BATS,2018-05-23,0.13459373806973193
BATS,2018-06-12,0.09725959703220155
BATS,2018-07-20,0.10766614990120454
BATS,2018-08-13,0.14971310258653703
BATS,2019-03-12,0.22863174816481285
BATS,2019-04-10,0.09782102304987798
BATS,2019-04-21,0.43840836882523276
BATS,2019-05-13,0.30159488301285003
BATS,2019-06-06,0.3374177514663272
BATS,2019-07-16,0.30644884112843707
BATS,2019-09-10,0.4144688999914322
BATS,2020-07-10,0.07708871859780402
BATS,2020-07-31,0.27021241159897313
BATS,2020-10-26,0.11534133365612868
BATS,2020-12-11,0.04915281776099879
BATS,2021-01-25,0.043638132180948454
BATS,2021-02-12,0.1822541243157867
BATS,2021-03-24,0.2271245324511754
BATS,2021-04-29,0.31084124027581456
BATS,2021-05-11,0.4417781246327152
BATS,2021-05-12,0.22761949605389603
BATS,2021-06-14,0.11749724643474792
BATS,2021-07-10,0.18519927579136392
BATS,2021-07-11,0.14596533361669428
BATS,2021-10-05,0.08319889762183409
BATS,2021-12-13,0.08375045421248484
BATS,2022-01-12,0.04150539725242086
BATS,2022-03-29,0.04249362099652613
BATS,2022-06-30,0.11495693517471783
BATS,2022-07-15,0.21082796795699787
BATS,2022-07-16,0.08761280981762475
BATS,2022-08-13,0.19402028138096483
BATS,2022-09-17,0.09392031712221721
BATS,2022-11-24,0.054299418708639816
BATS,2022-12-13,0.072132915647876
HOT,1998-01-10,0.1266002555878293
HOT,1998-01-11,0.16905511181355234
HOT,1998-03-17,0.27120977975013605
HOT,1998-03-18,0.29101819266291296
HOT,1998-04-14,0.24725517468440034
HOT,1998-04-15,0.4754254752327249
HOT,1998-05-12,0.1908097632489673
HOT,1998-05-13,0.38427907652743687
HOT,1998-06-16,0.30576798197105226
HOT,1998-06-17,0.5144973643016796
HOT,1998-07-15,0.30557861519866913
HOT,1998-10-18,0.29425378025368937
HOT,1998-10-19,0.26239301536912496
HOT,1998-11-10,0.16873930990474545
HOT,1998-12-08,0.1543016458733317
HOT,1999-01-12,0.3293542671542018
HOT,1999-02-17,0.22649242629596938
HOT,1999-03-16,0.15681023930772128
HOT,1999-03-17,0.23938880856301725
HOT,1999-04-13,0.26116228019879895
HOT,1999-04-14,0.34392120654077
HOT,1999-05-09,0.23197834279403573
HOT,1999-07-13,0.5155217863258729
HOT,1999-07-14,0.23674896702813744
HOT,1999-08-12,0.4628059758912468
HOT,1999-10-14,0.2564190192665268
HOT,1999-11-08,0.13743908351168171
HOT,1999-12-14,0.1781679026815513
HOT,1999-12-15,0.20905653506404184
HOT,2000-01-31,0.30259405415461743
HOT,2000-02-01,0.21116442757754333
HOT,2000-02-02,0.23108428005108095
HOT,2000-02-03,0.16824346443231664
